ID,ImageType,Prompt
13_beginner_portfolio-site-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person looking confused, surrounded by scattered, floating papers with Japanese text like '実績', 'スキル', '経験', tangled messy lines above the head, all text in Japanese."
13_beginner_portfolio-site-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person smiling confidently, a friendly robot designer presenting a beautiful portfolio website on a screen, the website has a clear title with the Japanese text '成長の証明書', all text in Japanese."
12_tatsuya_beginner_copilot-notebook-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person looking frustrated with a short, chaotic chat interface, speech bubbles are short and disconnected, showing a shallow conversation, with Japanese text '文脈が途切れる', all text in Japanese."
12_tatsuya_beginner_copilot-notebook-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person calmly writing on a large, continuous 'notebook' interface, a friendly robot is reading the long context and providing a deep, insightful answer, with Japanese text 'じっくり思考', all text in Japanese."
11_kyoko_beginner_gemini-wall-hitting-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person staring at a large brick wall symbolizing a problem, looking stuck, a thought bubble contains a looping arrow and the Japanese text '堂々巡り', all text in Japanese."
11_kyoko_beginner_gemini-wall-hitting-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person and a friendly robot side-by-side, the robot is pointing out a new perspective or a different path around the wall, a speech bubble from the robot has the Japanese text '別の視点', all text in Japanese."
10_tatsuya_beginner_voice-memo-structuring-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person looking at a smartphone with a messy audio wave and a separate note with scribbled, meaningless Japanese keywords like 'あれ' and '例の件', looking confused."
10_tatsuya_beginner_voice-memo-structuring-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person speaking into a smartphone, a friendly robot catches the words and instantly arranges them into a neat memo with clear Japanese headings like '【要点】' and '【次のアクション】'."
09_kyoko_advanced_copilot-illustration-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person struggling to create a diagram in PowerPoint, the result is a messy, unprofessional-looking chart with the Japanese text 'ダサい図…' in a thought bubble."
09_kyoko_advanced_copilot-illustration-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, educational illustration, a person telling a friendly robot an idea, the robot uses a magic wand to instantly create a beautiful diagram with Japanese labels '戦略', 'チームワーク', '成長'."
