ID,ImageType,Prompt
13_beginner_portfolio-site-01-Before,traditionalMethodDiagram,"Japanese graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person with a troubled expression, juggling scattered icons representing skills, projects, and achievements. The background is cluttered with floating Japanese text like '実績', 'スキル', '経験', creating a chaotic and disorganized feel. The overall layout is unbalanced, showing a lack of clear story or structure."
13_beginner_portfolio-site-02-After,aiMethodDiagram,"Japanese graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI robot, acting as a web designer, presents a beautifully structured portfolio website on a large screen to a smiling person. The website has a clear layout with a profile picture and sections with Japanese titles: '私の強み', 'プロジェクト実績'. The core message '成長の証明書' is written in a bold, friendly font at the top. The layout is clean, balanced, and professional."
12_tatsuya_beginner_copilot-notebook-01-Before,traditionalMethodDiagram,"Japanese graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person looking frustrated, trying to have a conversation with a chat window. The chat history is depicted as a series of short, disconnected bubbles, showing a shallow, context-forgetting conversation. A prominent Japanese text label reads '文脈が途切れる'."
12_tatsuya_beginner_copilot-notebook-02-After,aiMethodDiagram,"Japanese graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person calmly writing on a large, seamless digital notebook interface. A friendly AI assistant is shown reading the entire long text with a thoughtful expression, highlighting key points. A Japanese text label 'じっくり思考を深める' emphasizes the deep, contextual understanding."
11_kyoko_beginner_gemini-wall-hitting-01-Before,traditionalMethodDiagram,"Japanese graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown standing in front of a large, imposing brick wall, symbolizing a mental block. They look stuck and are walking in circles, as shown by a looping arrow on the ground. A thought bubble contains the Japanese text '堂々巡り…'."
11_kyoko_beginner_gemini-wall-hitting-02-After,aiMethodDiagram,"Japanese graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person and a friendly AI robot are looking at the brick wall together. The robot, acting as a 'wall-hitting partner', points to a previously unseen door in the wall, with a sign in Japanese that reads '別の視点'. This represents finding a new solution through dialogue."
10_tatsuya_beginner_voice-memo-structuring-01-Before,traditionalMethodDiagram,"Japanese graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person looking confused at a smartphone. A messy, tangled audio wave comes out of it, and a separate physical memo has only cryptic Japanese keywords like 'あれ' and '例の件'. The connection between the voice memo and the idea is lost."
10_tatsuya_beginner_voice-memo-structuring-02-After,aiMethodDiagram,"Japanese graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person speaks into a smartphone, and a friendly AI robot catches the voice data. The robot instantly processes it and outputs a perfectly structured digital memo with clear Japanese headings: '【アイデアの要点】', '【次にやるべき事】', and '【リスク】'."
09_kyoko_advanced_copilot-illustration-01-Before,traditionalMethodDiagram,"Japanese graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person struggling with PowerPoint's shape tools, resulting in a clumsy, unprofessional-looking diagram. The person has a frustrated expression, with a thought bubble containing the Japanese text 'ダサい図しか作れない…'."
09_kyoko_advanced_copilot-illustration-02-After,aiMethodDiagram,"Japanese graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person describes an image to a friendly AI robot. The robot, like a magician, waves a wand and instantly generates a stylish and clear illustration with Japanese labels '戦略', 'チームワーク', '成長', perfectly visualizing the concept."
08_tatsuya_beginner_word-to-powerpoint-01-Before,traditionalMethodDiagram,"Japanese graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown looking tired and bored, manually dragging text from a Word document icon to a PowerPoint slide icon. The process is depicted as a slow, tedious, and repetitive task with a Japanese label '面倒なコピペ作業'."
08_tatsuya_beginner_word-to-powerpoint-02-After,aiMethodDiagram,"Japanese graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person simply hands a Word document icon (with correctly styled headings) to a cheerful AI robot. The robot instantly processes it and presents a fully formed, professional PowerPoint presentation. A large Japanese text '瞬時に変換！' emphasizes the speed."
07_kyoko_beginner_simplification-01-Before,traditionalMethodDiagram,"Japanese graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. An expert is talking, but their speech bubble is filled with difficult-to-read, dense Japanese jargon like 'アサイン', 'イシュー', 'リソース'. The listener, from another department, has a giant question mark over their head, showing a complete communication gap."
07_kyoko_beginner_simplification-02-After,aiMethodDiagram,"Japanese graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI robot stands between the expert and the listener, acting as a translator. The robot takes the jargon-filled bubble and transforms it into a simple, clear bubble with an easy-to-understand analogy and the Japanese text 'つまり、こういうことです'."
06_kyoko_intermediate_copilot-coaching-01-Before,traditionalMethodDiagram,"Japanese graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown nervously writing a business email. Their thought bubble contains worries and self-doubt, with Japanese text like '失礼じゃないかな…' and 'これで伝わる？'. The 'Send' button is depicted as a large, intimidating red button."
